code,Parent,name,Latitude,Longitude,Postal
3501,35,Kab. Pacitan,-8.101901817,111.162651,63500
3502,35,Kab. Ponorogo,-7.971231405,111.5294151,63400
3503,35,Kab. Trenggalek,-8.13841978,111.6189415,66300
3504,35,Kab. Tulungagung,-8.072956429,111.9166592,66200
3505,35,Kab. Blitar,-8.131696104,112.2172664,66100
3506,35,Kab. Kediri,-7.801562964,112.109619,"6,410,064,200"
3507,35,Kab. Malang,-8.1126181,112.6234989,"6,510,065,300"
3508,35,Kab. Lumajang,-8.12460103,113.1394971,67300
3509,35,Kab. Jember,-8.265633077,113.652912,68100
3510,35,Kab. Banyuwangi,-8.332512826,114.221,68400
3511,35,Kab. Bondowoso,-7.945284947,113.9360273,68200
3512,35,Kab. Situbondo,-7.798675538,114.0203113,68300
3513,35,Kab. Probolinggo,-7.852011123,113.2856597,67200
3514,35,Kab. Pasuruan,-7.750564139,112.8352075,67100
3515,35,Kab. Sidoarjo,-7.453404805,112.6646025,61200
3516,35,Kab. Mojokerto,-7.541119878,112.50166,61300
3517,35,Kab. Jombang,-7.561478982,112.2592315,61400
3518,35,Kab. Nganjuk,-7.615142032,111.9472694,"6,440,064,300"
3519,35,Kab. Madiun,-7.611818499,111.6486778,63100
3520,35,Kab. Magetan,-7.653351606,111.3473922,"6,330,063,100"
3521,35,Kab. Ngawi,-7.432496295,111.3948288,63200
3522,35,Kab. Bojonegoro,-7.227836787,111.7946853,62100
3523,35,Kab. Tuban,-6.959399782,111.8960326,62300
3524,35,Kab. Lamongan,-7.123622949,112.3124742,62200
3525,35,Kab. Gresik,-6.561615853,112.5715601,61100
3526,35,Kab. Bangkalan,-7.046178604,112.9105682,69100
3527,35,Kab. Sampang,-7.101250265,113.2619017,69200
3528,35,Kab. Pamekasan,-7.070812062,113.503536,69300
3529,35,Kab. Sumenep,-6.150660031,114.9238395,69400
3571,35,Kota Kediri,-7.823030926,112.0178979,64100
3572,35,Kota Blitar,-8.096169074,112.1665259,66100
3573,35,Kota Malang,-7.981298266,112.6319262,65100
3574,35,Kota Probolinggo,-7.771192483,113.2026372,67200
3575,35,Kota Pasuruan,-7.653469715,112.9119313,67100
3576,35,Kota Mojokerto,-7.470742529,112.4373425,61300
3577,35,Kota Madiun,-7.637843873,111.5275104,63100
3578,35,Kota Surabaya,-7.274570037,112.7192225,"6,010,060,200"
3579,35,Kota Batu,-7.833695818,112.5341737,65300
